Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Article Influence Score
1110,Electronic Commerce Research and Applications,ELECTRON COMMER R A,6.014,1.039
1111,Journal of Chemical Theory and Computation,J CHEM THEORY COMPUT,6.006,1.764
1112,ORGANIC LETTERS,ORG LETT,6.005,1.121
1113,CHINESE JOURNAL OF CHEMISTRY,CHINESE J CHEM,6.000,0.619
1114,European Urology Focus,EUR UROL FOCUS,5.996,1.815
1114,NEUROBIOLOGY OF DISEASE,NEUROBIOL DIS,5.996,1.646
1116,ECOGRAPHY,ECOGRAPHY,5.994,2.191
1116,HEART,HEART,5.994,2.343
1116,Quantum Science and Technology,QUANTUM SCI TECHNOL,5.994,1.884
1119,NEPHROLOGY DIALYSIS TRANSPLANTATION,NEPHROL DIAL TRANSPL,5.992,1.687
1120,BIOLOGICAL CONSERVATION,BIOL CONSERV,5.991,1.711
1121,CANCER GENE THERAPY,CANCER GENE THER,5.987,0.987
1122,Dialogues in Clinical Neuroscience,DIALOGUES CLIN NEURO,5.986,2.728
1123,MACROMOLECULES,MACROMOLECULES,5.985,1.153
1124,Environmental Health,ENVIRON HEALTH-GLOB,5.984,1.759
1125,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,5.982,2.527
1126,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,5.978,1.112
1127,CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,5.977,1.221
1128,ANTIVIRAL RESEARCH,ANTIVIR RES,5.970,1.669
1129,Journal of Physics-Energy,J PHYS-ENERGY,5.967,1.248
1130,Anatomical Sciences Education,ANAT SCI EDUC,5.958,0.977
1130,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,J CLIN ENDOCR METAB,5.958,2.057
1132,JOURNAL OF NUCLEAR CARDIOLOGY,J NUCL CARDIOL,5.952,0.862
1133,JOURNAL OF CLINICAL MICROBIOLOGY,J CLIN MICROBIOL,5.948,1.778
1134,AUTOMATICA,AUTOMATICA,5.944,2.426
1134,CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,5.944,0.773
1136,IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,5.938,1.327
1137,SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,5.934,1.369
1138,International Journal of Applied Earth Observation and Geoinformation,INT J APPL EARTH OBS,5.933,1.238
1139,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,STRUCT HEALTH MONIT,5.929,1.173
1140,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,5.924,1.123
1141,JOURNAL OF LIPID RESEARCH,J LIPID RES,5.922,1.858
1142,JOURNAL OF PEST SCIENCE,J PEST SCI,5.918,1.140
1143,APPLIED SPECTROSCOPY REVIEWS,APPL SPECTROSC REV,5.917,1.036
1143,PLoS Genetics,PLOS GENET,5.917,2.728
1145,Innovative Food Science & Emerging Technologies,INNOV FOOD SCI EMERG,5.916,0.884
1146,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,5.915,1.084
1147,Nanotoxicology,NANOTOXICOLOGY,5.913,1.077
1148,BIOSTATISTICS,BIOSTATISTICS,5.911,2.774
1148,MOLECULAR & CELLULAR PROTEOMICS,MOL CELL PROTEOMICS,5.911,2.261
1150,Journal of Environmental Chemical Engineering,J ENVIRON CHEM ENG,5.909,0.694
1151,Human-centric Computing and Information Sciences,HUM-CENT COMPUT INFO,5.900,0.554
1151,Memetic Computing,MEMET COMPUT,5.900,0.804
1151,npj Materials Degradation,NPJ MAT DEGRAD,5.900,1.420
1154,Environmental Sciences Europe,ENVIRON SCI EUR,5.893,1.333
1154,Reviews in Fisheries Science & Aquaculture,REV FISH SCI AQUAC,5.893,1.388
1156,Aging Male,AGING MALE,5.892,0.585
1157,Frontiers in Bioengineering and Biotechnology,FRONT BIOENG BIOTECH,5.890,1.145
1158,HEADACHE,HEADACHE,5.887,1.290
1159,Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,5.882,2.804
1159,PHYTOTHERAPY RESEARCH,PHYTOTHER RES,5.882,0.746
1159,Virulence,VIRULENCE,5.882,1.594
1162,ENERGY AND BUILDINGS,ENERG BUILDINGS,5.879,1.039
1163,ASTROPHYSICAL JOURNAL,ASTROPHYS J,5.877,1.537
1164,Journal of the Taiwan Institute of Chemical Engineers,J TAIWAN INST CHEM E,5.876,0.711
1165,INTERNATIONAL JOURNAL OF PHARMACEUTICS,INT J PHARMACEUT,5.875,0.712
1166,Clinical and Translational Allergy,CLIN TRANSL ALLERGY,5.871,1.165
1167,EPILEPSIA,EPILEPSIA,5.866,1.918
1167,International Journal of Neural Systems,INT J NEURAL SYST,5.866,1.048
1169,Pharmaceuticals,PHARMACEUTICALS-BASE,5.863,1.110
1170,Journal of Computational Design and Engineering,J COMPUT DES ENG,5.860,0.731
1171,BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,5.858,1.144
1172,mAbs,MABS-AUSTIN,5.857,1.696
1173,Acta Geotechnica,ACTA GEOTECH,5.856,1.376
1174,Bone & Joint Research,BONE JOINT RES,5.853,1.261
1175,MOLECULAR CANCER RESEARCH,MOL CANCER RES,5.852,1.609
1176,SLEEP,SLEEP,5.849,2.198
1177,ECONOMETRICA,ECONOMETRICA,5.844,12.740
1178,Soil,SOIL-GERMANY,5.841,1.494
1179,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INT J HYG ENVIR HEAL,5.840,1.379
1180,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,J COSMOL ASTROPART P,5.839,1.295
1181,ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,5.837,0.995
1181,INTERNATIONAL JOURNAL OF NURSING STUDIES,INT J NURS STUD,5.837,1.635
1183,ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,5.836,1.389
1183,Journal of NeuroInterventional Surgery,J NEUROINTERV SURG,5.836,1.353
1185,MICROCHIMICA ACTA,MICROCHIM ACTA,5.833,0.749
1186,Agronomy for Sustainable Development,AGRON SUSTAIN DEV,5.832,1.850
1187,JOURNAL OF PAIN,J PAIN,5.828,2.158
1187,Journal of Hepatocellular Carcinoma,J HEPATOCELL CARCINO,5.828,1.304
1187,LIVER INTERNATIONAL,LIVER INT,5.828,1.520
1190,JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,5.824,2.765
1190,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,J THROMB HAEMOST,5.824,1.817
1192,MOLECULAR NUTRITION & FOOD RESEARCH,MOL NUTR FOOD RES,5.820,1.088
1193,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,INT J HYDROGEN ENERG,5.816,0.684
1193,Journal of Fungi,J FUNGI,5.816,1.427
1195,Neurology and Therapy,NEUROL THER,5.814,1.344
1195,Wiley Interdisciplinary Reviews-Developmental Biology,WIRES DEV BIOL,5.814,2.587
1197,Microbial Biotechnology,MICROB BIOTECHNOL,5.813,1.295
1198,Frontiers in Pharmacology,FRONT PHARMACOL,5.811,1.139
1199,Annual Review of Statistics and Its Application,ANNU REV STAT APPL,5.810,5.337
1199,JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,5.810,1.016
1201,BIODRUGS,BIODRUGS,5.807,1.572
1202,ASTRONOMY & ASTROPHYSICS,ASTRON ASTROPHYS,5.803,1.510
1203,Cannabis and Cannabinoid Research,CANNABIS CANNABINOID,5.800,2.015
1204,LIVER TRANSPLANTATION,LIVER TRANSPLANT,5.799,1.586
1205,DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,5.795,1.398
1206,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,5.792,2.353
1207,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J ANTIMICROB CHEMOTH,5.790,1.740
1208,PHARMACOPSYCHIATRY,PHARMACOPSYCHIATRY,5.788,0.913
1209,CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,5.787,0.867
1210,Journal of Cell Communication and Signaling,J CELL COMMUN SIGNAL,5.782,1.162
1211,VASCULAR PHARMACOLOGY,VASC PHARMACOL,5.773,1.017
1212,AMERICAN JOURNAL OF SCIENCE,AM J SCI,5.772,2.058
1212,IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,5.772,1.247
1214,Cryosphere,CRYOSPHERE,5.771,1.911
1215,INDOOR AIR,INDOOR AIR,5.770,1.380
1216,Allergy Asthma & Immunology Research,ALLERGY ASTHMA IMMUN,5.764,1.082
1217,Disease Models & Mechanisms,DIS MODEL MECH,5.758,1.809
1217,Food Engineering Reviews,FOOD ENG REV,5.758,0.980
1219,CNS DRUGS,CNS DRUGS,5.754,1.638
1219,Frontiers in Plant Science,FRONT PLANT SCI,5.754,1.318
1221,HELICOBACTER,HELICOBACTER,5.753,0.937
1222,Frontiers in Aging Neuroscience,FRONT AGING NEUROSCI,5.750,1.452
1223,HYDROLOGY AND EARTH SYSTEM SCIENCES,HYDROL EARTH SYST SC,5.748,1.580
1224,Archives of Disease in Childhood-Fetal and Neonatal Edition,ARCH DIS CHILD-FETAL,5.747,1.719
1225,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,AUST NZ J PSYCHIAT,5.744,1.921
1226,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,5.742,1.691
1226,SOLAR ENERGY,SOL ENERGY,5.742,0.910
1226,WORLD JOURNAL OF GASTROENTEROLOGY,WORLD J GASTROENTERO,5.742,1.144
1229,Stem Cell Reviews and Reports,STEM CELL REV REP,5.739,0.920
1230,GENOMICS,GENOMICS,5.736,1.343
1231,AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,5.734,1.361
1231,MACROMOLECULAR RAPID COMMUNICATIONS,MACROMOL RAPID COMM,5.734,0.942
1233,STEEL AND COMPOSITE STRUCTURES,STEEL COMPOS STRUCT,5.733,0.522
1234,Urban Climate,URBAN CLIM,5.731,1.080
1235,VALUE IN HEALTH,VALUE HEALTH,5.728,2.259
1236,Pain and Therapy,PAIN THER,5.725,1.322
1237,THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,5.723,1.602
1238,Cancer Cell International,CANCER CELL INT,5.722,0.929
1238,JOURNAL OF HYDROLOGY,J HYDROL,5.722,1.172
1240,ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,5.721,2.434
1241,NEUROCOMPUTING,NEUROCOMPUTING,5.719,0.981
1241,Nutrients,NUTRIENTS,5.719,1.139
1243,NEOPLASIA,NEOPLASIA,5.715,1.598
1244,Cell Communication and Signaling,CELL COMMUN SIGNAL,5.712,1.310
1244,JOURNAL OF CARDIAC FAILURE,J CARD FAIL,5.712,1.788
1246,CURRENT OPINION IN NEUROLOGY,CURR OPIN NEUROL,5.710,1.670
1247,APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,5.706,0.934
1248,LUNG CANCER,LUNG CANCER,5.705,1.455
1249,GLOBAL BIOGEOCHEMICAL CYCLES,GLOBAL BIOGEOCHEM CY,5.703,2.369
1250,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,5.699,1.228
1251,HUMAN GENE THERAPY,HUM GENE THER,5.695,1.345
1252,Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,5.693,0.875
1253,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,ANN NY ACAD SCI,5.691,1.700
1254,ChemCatChem,CHEMCATCHEM,5.686,1.053
1255,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,INT COMMUN HEAT MASS,5.683,1.014
1256,Aging-US,AGING-US,5.682,1.330
1256,PROGRESS IN SOLID STATE CHEMISTRY,PROG SOLID STATE CH,5.682,2.063
1258,Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,5.678,0.714
1258,ENDOCRINE-RELATED CANCER,ENDOCR-RELAT CANCER,5.678,1.581
1260,APL Photonics,APL PHOTONICS,5.672,1.776
1261,International Journal of Precision Engineering and Manufacturing-Green Technology,INT J PR ENG MAN-GT,5.671,0.819
1262,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,5.666,1.005
1263,MOLECULAR PLANT PATHOLOGY,MOL PLANT PATHOL,5.663,1.358
1264,LABORATORY INVESTIGATION,LAB INVEST,5.662,1.255
1265,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,5.657,1.622
1266,Climate Services,CLIM SERV,5.656,2.090
1267,INTERNATIONAL JOURNAL OF ONCOLOGY,INT J ONCOL,5.650,0.861
1268,INDUSTRIAL CROPS AND PRODUCTS,IND CROP PROD,5.645,0.774
1269,Frontiers in Microbiology,FRONT MICROBIOL,5.640,1.380
1270,Frontiers in Molecular Neuroscience,FRONT MOL NEUROSCI,5.639,1.483
1271,Journal of Pathology Clinical Research,J PATHOL CLIN RES,5.638,1.631
1272,CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,5.635,1.467
1273,IEEE MULTIMEDIA,IEEE MULTIMEDIA,5.633,1.044
1274,RESPIRATORY RESEARCH,RESP RES,5.631,1.375
1275,Endoscopic Ultrasound,ENDOSC ULTRASOUND,5.628,0.889
1276,ENTOMOLOGIA GENERALIS,ENTOMOL GEN,5.625,0.735
1277,EUROPEAN JOURNAL OF NUTRITION,EUR J NUTR,5.619,1.056
1278,BIOLOGICAL RESEARCH,BIOL RES,5.612,0.815
1279,SCRIPTA MATERIALIA,SCRIPTA MATER,5.611,1.409
1280,FUNCTIONAL ECOLOGY,FUNCT ECOL,5.608,1.991
1281,DRUG SAFETY,DRUG SAFETY,5.606,1.357
1281,NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,5.606,0.783
1283,ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,5.603,0.983
1284,DIABETES RESEARCH AND CLINICAL PRACTICE,DIABETES RES CLIN PR,5.602,1.219
1285,EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,5.600,1.242
1285,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,5.600,1.421
1287,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,5.596,1.924
1288,Deutsches Arzteblatt International,DTSCH ARZTEBL INT,5.594,1.514
1288,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,5.594,1.604
1290,MOLECULAR NEUROBIOLOGY,MOL NEUROBIOL,5.590,1.124
1291,BJU INTERNATIONAL,BJU INT,5.588,1.498
1292,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,5.584,0.971
1292,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,J DTSCH DERMATOL GES,5.584,0.815
1294,Polymer Chemistry,POLYM CHEM-UK,5.582,0.871
1295,ENVIRONMENTAL SCIENCE & POLICY,ENVIRON SCI POLICY,5.581,1.362
1296,CURRENT OPINION IN GENETICS & DEVELOPMENT,CURR OPIN GENET DEV,5.578,2.479
1297,ONCOLOGY RESEARCH,ONCOL RES,5.574,0.832
1298,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,EUR J PHARM BIOPHARM,5.571,0.911
1298,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,PUBL ASTRON SOC AUST,5.571,1.907
1300,JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,5.568,2.320
1300,Journal of Parkinsons Disease,J PARKINSON DIS,5.568,1.512
1302,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,5.567,1.217
1302,Geochemical Perspectives Letters,GEOCHEM PERSPECT LET,5.567,2.420
1302,IEEE Transactions on Robotics,IEEE T ROBOT,5.567,2.226
1305,COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,5.565,0.846
1305,FOOD QUALITY AND PREFERENCE,FOOD QUAL PREFER,5.565,0.866
1305,Journal of Environmental Sciences,J ENVIRON SCI,5.565,0.790
1308,Journal of Exposure Science and Environmental Epidemiology,J EXPO SCI ENV EPID,5.563,1.150
1309,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,J AM GERIATR SOC,5.562,1.917
1310,BMJ Global Health,BMJ GLOB HEALTH,5.558,2.363
1311,Frontiers in Endocrinology,FRONT ENDOCRINOL,5.555,1.250
1312,PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,5.554,1.536
1313,MARINE POLLUTION BULLETIN,MAR POLLUT BULL,5.553,0.926
1314,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,5.551,1.014
1315,ONCOLOGIST,ONCOLOGIST,5.550,1.896
1316,FOOD CONTROL,FOOD CONTROL,5.548,0.849
1317,CURRENT OPINION IN PHARMACOLOGY,CURR OPIN PHARMACOL,5.547,1.509
1318,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,5.545,1.050
1318,Reviews of Physiology Biochemistry and Pharmacology,REV PHYSIOL BIOCH P,5.545,1.227
1320,FEBS Journal,FEBS J,5.542,1.509
1321,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,J ANAL APPL PYROL,5.541,0.849
1322,Earth System Dynamics,EARTH SYST DYNAM,5.540,1.732
1323,IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,5.538,1.039
1324,POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,5.537,0.866
1325,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,5.534,1.552
1326,EUROPEAN JOURNAL OF IMMUNOLOGY,EUR J IMMUNOL,5.532,1.677
1326,Journal of the American College of Radiology,J AM COLL RADIOL,5.532,1.534
1326,SEMINARS IN ARTHRITIS AND RHEUMATISM,SEMIN ARTHRITIS RHEU,5.532,1.954
1329,Journal of Translational Medicine,J TRANSL MED,5.531,1.245
1330,Genes and Nutrition,GENES NUTR,5.523,0.891
1331,Biosensors-Basel,BIOSENSORS-BASEL,5.519,0.910
1332,FOOD MICROBIOLOGY,FOOD MICROBIOL,5.516,0.995
1333,Journal of Cheminformatics,J CHEMINFORMATICS,5.514,1.723
1334,Frontiers in Cellular Neuroscience,FRONT CELL NEUROSCI,5.505,1.465
1335,Journal of the American Heart Association,J AM HEART ASSOC,5.501,2.157
1336,Thrombosis Journal,THROMB J,5.500,1.214
1337,ECOLOGY,ECOLOGY,5.499,1.894
1338,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,J SANDW STRUCT MATER,5.497,0.795
1339,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,5.495,1.220
1340,ENVIRONMENTAL MICROBIOLOGY,ENVIRON MICROBIOL,5.491,1.657
1341,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,B CHEM SOC JPN,5.488,0.620
1342,Nucleic Acid Therapeutics,NUCLEIC ACID THER,5.486,1.589
1343,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,5.485,1.682
1343,Journal of Water Process Engineering,J WATER PROCESS ENG,5.485,0.656
1345,BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,5.483,1.626
1346,GYNECOLOGIC ONCOLOGY,GYNECOL ONCOL,5.482,1.512
1346,Journal of Cystic Fibrosis,J CYST FIBROS,5.482,1.492
1348,Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,5.481,1.467
1349,Journal of Oral Microbiology,J ORAL MICROBIOL,5.474,1.186
1350,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,5.471,1.491
1351,Cancer & Metabolism,CANCER METAB,5.469,2.263
1351,JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,5.469,2.326
1351,Journal of Science-Advanced Materials and Devices,J SCI-ADV MATER DEV,5.469,0.730
1351,World Journal of Emergency Surgery,WORLD J EMERG SURG,5.469,1.639
1355,ISA TRANSACTIONS,ISA T,5.468,0.932
1356,APPLIED CLAY SCIENCE,APPL CLAY SCI,5.467,0.761
1357,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,5.464,1.352
1358,Clinical Research in Cardiology,CLIN RES CARDIOL,5.460,1.344
1359,GEOTECHNIQUE,GEOTECHNIQUE,5.458,1.785
1359,iScience,ISCIENCE,5.458,1.640
1361,MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,5.456,1.275
1362,Chinese Medicine,CHIN MED-UK,5.455,0.679
1362,MICROPOROUS AND MESOPOROUS MATERIALS,MICROPOR MESOPOR MAT,5.455,0.729
1364,Ecosystem Services,ECOSYST SERV,5.454,1.356
1365,3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,5.449,1.068
1365,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEV MED CHILD NEUROL,5.449,1.414
1367,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,PUBL ASTRON SOC PAC,5.445,1.796
1368,Stem Cells International,STEM CELLS INT,5.443,0.952
1369,Neurobiology of Stress,NEUROBIOL STRESS,5.441,2.261
1370,MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,5.439,3.826
1371,MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,5.432,1.138
1372,COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,5.431,0.967
1373,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,5.428,0.950
1373,JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,5.428,1.865
1375,Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,5.425,2.388
1376,JOURNAL OF IMMUNOLOGY,J IMMUNOL,5.422,1.972
1377,Cognitive Computation,COGN COMPUT,5.418,0.798
1378,MICROBIOLOGICAL RESEARCH,MICROBIOL RES,5.415,1.072
1379,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,5.414,2.019
1379,CYTOTHERAPY,CYTOTHERAPY,5.414,1.066
1381,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MED SCI SPORT EXER,5.411,1.637
1382,BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,5.407,1.603
1382,COMPOSITE STRUCTURES,COMPOS STRUCT,5.407,0.930
1384,World Journal of Mens Health,WORLD J MENS HEALTH,5.400,0.738
1385,GEOLOGY,GEOLOGY,5.399,2.318
1386,Food & Function,FOOD FUNCT,5.396,0.799
1386,Journal of the International AIDS Society,J INT AIDS SOC,5.396,2.434
1388,Advances in Clinical Chemistry,ADV CLIN CHEM,5.394,1.334
1389,ECOLOGICAL ECONOMICS,ECOL ECON,5.389,1.453
1390,BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,5.386,1.804
1391,PRECISION AGRICULTURE,PRECIS AGRIC,5.385,0.851
1392,Journal of Neural Engineering,J NEURAL ENG,5.379,1.394
1393,Diabetes & Metabolism Journal,DIABETES METAB J,5.376,1.189
1394,Solid State Physics,SOLID STATE PHYS,5.375,1.419
1395,PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,5.374,1.015
1395,SOIL & TILLAGE RESEARCH,SOIL TILL RES,5.374,1.122
1397,BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,5.373,0.809
1398,JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,5.372,1.364
1399,AGRICULTURAL SYSTEMS,AGR SYST,5.370,1.174
1400,ATMOSPHERIC RESEARCH,ATMOS RES,5.369,1.149
1400,CURRENT HYPERTENSION REPORTS,CURR HYPERTENS REP,5.369,1.273
1402,DERMATOLOGY,DERMATOLOGY,5.366,0.980
1403,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,5.364,2.131
1404,EUROPEAN PSYCHIATRY,EUR PSYCHIAT,5.361,1.745
1405,CEREBRAL CORTEX,CEREB CORTEX,5.357,2.381
1406,JOURNAL OF FOOD ENGINEERING,J FOOD ENG,5.354,0.774
1407,Sustainable Energy Technologies and Assessments,SUSTAIN ENERGY TECHN,5.353,0.743
1408,CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,5.352,1.628
1409,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,5.349,2.079
1410,Nature and Science of Sleep,NAT SCI SLEEP,5.346,1.482
1410,Therapeutic Advances in Musculoskeletal Disease,THER ADV MUSCULOSKEL,5.346,1.419
1412,ANNALS OF SURGICAL ONCOLOGY,ANN SURG ONCOL,5.344,1.446
1412,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,5.344,1.661
1414,PHYTOMEDICINE,PHYTOMEDICINE,5.340,0.749
1415,Weather and Climate Extremes,WEATHER CLIM EXTREME,5.338,2.245
1416,ORAL ONCOLOGY,ORAL ONCOL,5.337,1.309
1417,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,5.334,1.359
1418,International Journal of Transgenderism,INT J TRANSGENDERISM,5.333,1.542
1418,RADIOGRAPHICS,RADIOGRAPHICS,5.333,1.906
1420,EXPERIMENTAL NEUROLOGY,EXP NEUROL,5.330,1.319
1421,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,5.329,1.009
1422,Microbial Cell Factories,MICROB CELL FACT,5.328,1.151
1423,ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,5.326,1.193
1423,World Journal of Stem Cells,WORLD J STEM CELLS,5.326,0.848
1425,INFLAMMATORY BOWEL DISEASES,INFLAMM BOWEL DIS,5.325,1.590
1426,Journal of Natural Fibers,J NAT FIBERS,5.323,0.332
1427,BUILDING RESEARCH AND INFORMATION,BUILD RES INF,5.322,1.226
1427,Infectious Diseases and Therapy,INFECT DIS THER,5.322,1.558
1429,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,J AM MATH SOC,5.318,7.446
1429,Journal of Building Engineering,J BUILD ENG,5.318,0.806
1429,QUARTERLY REVIEWS OF BIOPHYSICS,Q REV BIOPHYS,5.318,2.629
1432,JOURNAL OF ALLOYS AND COMPOUNDS,J ALLOY COMPD,5.316,0.716
1432,NanoImpact,NANOIMPACT,5.316,0.989
1434,EUROPEAN RADIOLOGY,EUR RADIOL,5.315,1.214
1435,INTERNATIONAL REVIEWS OF IMMUNOLOGY,INT REV IMMUNOL,5.311,1.172
1436,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,J CELL MOL MED,5.310,1.014
1437,Nanomedicine,NANOMEDICINE-UK,5.307,0.971
1438,PATHOLOGY,PATHOLOGY,5.306,1.286
1439,Animal Frontiers,ANIM FRONT,5.304,1.150
1439,DENTAL MATERIALS,DENT MATER,5.304,1.154
1441,IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,5.303,1.531
1442,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,J EUR CERAM SOC,5.302,0.808
